Year,State,Month,Number of Fires,Date Reported
2008,Ceará,February,12,1/1/2008
2009,Ceará,February,8,1/1/2009
2010,Ceará,February,63,1/1/2010
2011,Ceará,February,2,1/1/2011
2012,Ceará,February,41,1/1/2012
2013,Ceará,February,49,1/1/2013
2014,Ceará,February,18,1/1/2014
2015,Ceará,February,25,1/1/2015
2016,Ceará,February,13,1/1/2016
2017,Ceará,February,9,1/1/2017
1998,Ceará,March,0,1/1/1998
1999,Ceará,March,30,1/1/1999
2000,Ceará,March,9,1/1/2000
2001,Ceará,March,0,1/1/2001
2002,Ceará,March,17,1/1/2002
2003,Ceará,March,3,1/1/2003
2004,Ceará,March,1,1/1/2004
2005,Ceará,March,5,1/1/2005
2006,Ceará,March,3,1/1/2006
2007,Ceará,March,2,1/1/2007
2008,Ceará,March,2,1/1/2008
2009,Ceará,March,3,1/1/2009
2010,Ceará,March,40,1/1/2010
2011,Ceará,March,6,1/1/2011
2012,Ceará,March,10,1/1/2012
2013,Ceará,March,17,1/1/2013
2014,Ceará,March,6,1/1/2014
2015,Ceará,March,20,1/1/2015
2016,Ceará,March,4,1/1/2016
2017,Ceará,March,4,1/1/2017
1998,Ceará,April,0,1/1/1998
1999,Ceará,April,6,1/1/1999
2000,Ceará,April,15,1/1/2000
2001,Ceará,April,2,1/1/2001
2002,Ceará,April,5,1/1/2002
2003,Ceará,April,3,1/1/2003
2004,Ceará,April,2,1/1/2004
2005,Ceará,April,4,1/1/2005
2006,Ceará,April,1,1/1/2006
2007,Ceará,April,1,1/1/2007
2008,Ceará,April,0,1/1/2008
2009,Ceará,April,0,1/1/2009
2010,Ceará,April,7,1/1/2010
2011,Ceará,April,1,1/1/2011
2012,Ceará,April,2,1/1/2012
2013,Ceará,April,4,1/1/2013
2014,Ceará,April,4,1/1/2014
2015,Ceará,April,3,1/1/2015
2016,Ceará,April,10,1/1/2016
2017,Ceará,April,6,1/1/2017
1998,Ceará,May,0,1/1/1998
1999,Ceará,May,5,1/1/1999
2000,Ceará,May,7,1/1/2000
2001,Ceará,May,81,1/1/2001
2002,Ceará,May,10,1/1/2002
2003,Ceará,May,0,1/1/2003
2004,Ceará,May,3,1/1/2004
2005,Ceará,May,1,1/1/2005
2006,Ceará,May,0,1/1/2006
2007,Ceará,May,0,1/1/2007
2008,Ceará,May,0,1/1/2008
2009,Ceará,May,0,1/1/2009
2010,Ceará,May,2,1/1/2010
2011,Ceará,May,0,1/1/2011
2012,Ceará,May,19,1/1/2012
2013,Ceará,May,4,1/1/2013
2014,Ceará,May,4,1/1/2014
2015,Ceará,May,17,1/1/2015
2016,Ceará,May,8,1/1/2016
2017,Ceará,May,9,1/1/2017
1998,Ceará,June,1,1/1/1998
1999,Ceará,June,16,1/1/1999
2000,Ceará,June,16,1/1/2000
2001,Ceará,June,38,1/1/2001
