Year,State,Month,Number of Fires,Date Reported
2007,Tocantins,June,591,1/1/2007
2008,Tocantins,June,282,1/1/2008
2009,Tocantins,June,421,1/1/2009
2010,Tocantins,June,767,1/1/2010
2011,Tocantins,June,717,1/1/2011
2012,Tocantins,June,922,1/1/2012
2013,Tocantins,June,873,1/1/2013
2014,Tocantins,June,1.372,1/1/2014
2015,Tocantins,June,1.15,1/1/2015
2016,Tocantins,June,1.148,1/1/2016
2017,Tocantins,June,1.32,1/1/2017
1998,Tocantins,July,640,1/1/1998
1999,Tocantins,July,373,1/1/1999
2000,Tocantins,July,500,1/1/2000
2001,Tocantins,July,830,1/1/2001
2002,Tocantins,July,976,1/1/2002
2003,Tocantins,July,762,1/1/2003
2004,Tocantins,July,1.389,1/1/2004
2005,Tocantins,July,1.082,1/1/2005
2006,Tocantins,July,430,1/1/2006
2007,Tocantins,July,982,1/1/2007
2008,Tocantins,July,441,1/1/2008
2009,Tocantins,July,989,1/1/2009
2010,Tocantins,July,2.408,1/1/2010
2011,Tocantins,July,1.001,1/1/2011
2012,Tocantins,July,1.693,1/1/2012
2013,Tocantins,July,1.393,1/1/2013
2014,Tocantins,July,1.404,1/1/2014
2015,Tocantins,July,1.217,1/1/2015
2016,Tocantins,July,2.737,1/1/2016
2017,Tocantins,July,2.397,1/1/2017
1998,Tocantins,August,3.747,1/1/1998
1999,Tocantins,August,1.284,1/1/1999
2000,Tocantins,August,1.949,1/1/2000
2001,Tocantins,August,2.242,1/1/2001
2002,Tocantins,August,3.027,1/1/2002
2003,Tocantins,August,1.339,1/1/2003
2004,Tocantins,August,1.776,1/1/2004
2005,Tocantins,August,1.84,1/1/2005
2006,Tocantins,August,1.277,1/1/2006
2007,Tocantins,August,4.747,1/1/2007
2008,Tocantins,August,845,1/1/2008
2009,Tocantins,August,1.124,1/1/2009
2010,Tocantins,August,7.865,1/1/2010
2011,Tocantins,August,1.668,1/1/2011
2012,Tocantins,August,4.28,1/1/2012
2013,Tocantins,August,1.81,1/1/2013
2014,Tocantins,August,2.917,1/1/2014
2015,Tocantins,August,2.54,1/1/2015
2016,Tocantins,August,3.213,1/1/2016
2017,Tocantins,August,3.536,1/1/2017
1998,Tocantins,September,5.149,1/1/1998
1999,Tocantins,September,3.415,1/1/1999
2000,Tocantins,September,2.552,1/1/2000
2001,Tocantins,September,4.839,1/1/2001
2002,Tocantins,September,5.314,1/1/2002
2003,Tocantins,September,4.637,1/1/2003
2004,Tocantins,September,5.308,1/1/2004
2005,Tocantins,September,5.319,1/1/2005
2006,Tocantins,September,2.979,1/1/2006
2007,Tocantins,September,6.829,1/1/2007
2008,Tocantins,September,2.39,1/1/2008
2009,Tocantins,September,2.017,1/1/2009
2010,Tocantins,September,10.172,1/1/2010
2011,Tocantins,September,4.658,1/1/2011
2012,Tocantins,September,7.46,1/1/2012
2013,Tocantins,September,2.445,1/1/2013
2014,Tocantins,September,3.52,1/1/2014
2015,Tocantins,September,5.51,1/1/2015
2016,Tocantins,September,3.245,1/1/2016
2017,Tocantins,September,10.737,1/1/2017
1998,Tocantins,October,1.738,1/1/1998
1999,Tocantins,October,1.378,1/1/1999
2000,Tocantins,October,1.053,1/1/2000
2001,Tocantins,October,684,1/1/2001
2002,Tocantins,October,1.537,1/1/2002
2003,Tocantins,October,1.339,1/1/2003
2004,Tocantins,October,1.658,1/1/2004
2005,Tocantins,October,2.913,1/1/2005
2006,Tocantins,October,1.176,1/1/2006
2007,Tocantins,October,2.252,1/1/2007
2008,Tocantins,October,2.832,1/1/2008
2009,Tocantins,October,718,1/1/2009
2010,Tocantins,October,2.272,1/1/2010
2011,Tocantins,October,1.591,1/1/2011
2012,Tocantins,October,3.68,1/1/2012
2013,Tocantins,October,2.155,1/1/2013
2014,Tocantins,October,4,1/1/2014
2015,Tocantins,October,4.844,1/1/2015
2016,Tocantins,October,2.032,1/1/2016
2017,Tocantins,October,2.969,1/1/2017
1998,Tocantins,November,1,1/1/1998
1999,Tocantins,November,29,1/1/1999
2000,Tocantins,November,96,1/1/2000
2001,Tocantins,November,100,1/1/2001
2002,Tocantins,November,207,1/1/2002
2003,Tocantins,November,146,1/1/2003
2004,Tocantins,November,424,1/1/2004
2005,Tocantins,November,271,1/1/2005
2006,Tocantins,November,108,1/1/2006
2007,Tocantins,November,147,1/1/2007
2008,Tocantins,November,104,1/1/2008
2009,Tocantins,November,251,1/1/2009
2010,Tocantins,November,283,1/1/2010
2011,Tocantins,November,144,1/1/2011
2012,Tocantins,November,179,1/1/2012
2013,Tocantins,November,345,1/1/2013
2014,Tocantins,November,451,1/1/2014
2015,Tocantins,November,833,1/1/2015
2016,Tocantins,November,623,1/1/2016
2017,Tocantins,November,434,1/1/2017
1998,Tocantins,December,9,1/1/1998
1999,Tocantins,December,16,1/1/1999
2000,Tocantins,December,20,1/1/2000
2001,Tocantins,December,21,1/1/2001
2002,Tocantins,December,39,1/1/2002
2003,Tocantins,December,109,1/1/2003
2004,Tocantins,December,96,1/1/2004
2005,Tocantins,December,53,1/1/2005
2006,Tocantins,December,15,1/1/2006
2007,Tocantins,December,13,1/1/2007
2008,Tocantins,December,7,1/1/2008
2009,Tocantins,December,46,1/1/2009
2010,Tocantins,December,72,1/1/2010
2011,Tocantins,December,105,1/1/2011
2012,Tocantins,December,128,1/1/2012
2013,Tocantins,December,85,1/1/2013
2014,Tocantins,December,223,1/1/2014
2015,Tocantins,December,373,1/1/2015
2016,Tocantins,December,119,1/1/2016
